predict_date_x,class_id,predict_quantity
201712,281792,343.4395444
201712,682651,277.8260125
201712,603972,434.2490467
201712,221795,359.9226829
201712,482497,204.6144549
201712,379265,312.6404353
201712,687270,424.3724379
201712,890189,1152.87853
201712,654134,432.4500987
201712,739296,833.9388476
201712,437063,110.3857489
201712,453752,186.4058173
201712,209945,93.62754779
201712,732758,156.8046214
201712,683364,87.49271887
201712,527765,72.48151504
201712,614059,272.9498571
201712,527809,108.9985021
201712,401052,128.4099523
201712,510309,97.5272737
201712,290854,211.103231
201712,416749,181.486417
201712,587678,154.9973349
201712,651347,191.2272128
201712,973106,108.4672911
201712,854079,158.077668
201712,713651,203.4687649
201712,468392,157.7319293
201712,169673,173.8337814
201712,379876,133.4294142
201712,378536,107.8090981
201712,472603,93.81409929
201712,905745,191.3857639
201712,741152,542.1390809
201712,125403,154.9391417
201712,291086,313.9625559
201712,384924,781.2504905
201712,206765,2120.422769
201712,186250,105.4957095
201712,735971,2274.737931
201712,291514,55.51697214
201712,612523,100.4152732
201712,124140,207.5574097
201712,412240,65.10765152
201712,265980,161.5528362
201712,736094,229.371883
201712,905061,208.3290466
201712,725137,73.24009057
201712,692703,512.6943923
201712,501564,122.6481858
201712,580470,452.072231
201712,914348,491.0290311
201712,628041,841.8033074
201712,245609,123.7327344
201712,961962,80.63224454
201712,308913,132.6269242
201712,425432,2037.865815
201712,350259,479.1202567
201712,883691,247.6993979
201712,281301,340.6508847
201712,810398,93.6786823
201712,175962,158.1795199
201712,321683,2158.118648
201712,714152,511.8120963
201712,475895,97.84901176
201712,576298,146.4370456
201712,302513,143.8599771
201712,750340,87.08345744
201712,304458,391.5812543
201712,591790,192.894759
201712,789290,75.76816848
201712,360648,184.3012488
201712,745137,797.7597266
201712,924154,969.3810945
201712,356986,470.6130245
201712,671482,84.03269913
201712,871642,153.5798639
201712,219195,135.6607835
201712,569154,379.6724032
201712,409854,2097.859037
201712,437598,61.34273484
201712,340175,114.5512454
201712,948936,56.4496162
201712,540712,333.0987221
201712,978089,312.9895625
201712,693436,137.7095932
201712,289403,208.5707995
201712,198427,104.7243086
201712,619401,230.8562034
201712,815230,184.2248143
201712,649213,104.7424694
201712,851857,162.1155573
201712,651782,75.74570641
201712,249875,136.880899
201712,289386,435.9859892
201712,481950,139.6641657
201712,854548,119.7517106
201712,378356,298.0059198
201712,496459,376.4151947
201712,359378,48.70253069
201712,392593,181.7605005
201712,653436,149.3332148
201712,248352,261.0615172
201712,347384,2245.138451
201712,714860,178.6908949
201712,597927,149.2926907
201712,194201,341.0442405
201712,103507,187.9609988
201712,953842,1067.372715
201712,819061,152.4327188
201712,417803,109.0714187
201712,492952,147.5312056
201712,580634,242.7862435
201712,559132,107.8841357
201712,961362,79.64293096
201712,354068,465.168438
201712,348641,334.4862479
201712,861459,246.1401032
201712,950264,1090.472616
201712,760412,65.38173149
201712,560265,68.41208994
201712,376193,94.482739
201712,872180,127.5520675
201712,621073,994.9064372
201712,516750,49.16640655
201712,270690,585.2192086
201712,178529,152.0886688
201712,786351,111.200276
201712,526401,380.8111014
201712,436105,419.7357415
201712,194450,227.5159533
201712,963845,203.4558634
201712,349023,942.3502178
201712,743957,586.4645399
201712,923841,648.4317411
201712,250658,193.2117664
201712,714150,198.2772416
201712,395234,103.4759526
201712,842246,138.95594
201712,136916,152.6785443
